code,name,account_type,status,reconcile
12020604,SALES OF STORES/INVENTORIES,income,active,no
12020609,PROCEEDS FROM SALES OF FARM PRODUCE,income,active,no
12020610,PROCEEDS FROM SALES OF GOODS BY PUBLIC AUCTIONS,income,active,no
12020611,PROCEEDS FROM SALES OF GOVT. VEHICLES,income,active,no
12020701,EARNINGS FROM CONSULTANCY SERVICES,income,active,no
12020703,EARNINGS FROM HIRE OF PLANTS & EQUIPMENT,income,active,no
12020705,EARNINGS FROM THE USE OF GOVT. HALLS/OTHERS,income,active,no
12020708,EARNINGS FROM AGRICULTURAL PRODUCE,income,active,no
12020901,RENT ON FEDERAL GOVT. LAND,income,active,no
12021102,DIVIDEND RECEIVED,income,active,no
12021103,OTHER INVESTMENT INCOME,income,active,no
12021210,BANK INTEREST,income,active,no
12021212,INTEREST ON TREASURY BILLS & FIXED DEPOSITS,income,active,no
13010101,DOMESTIC AID AND GRANTS (IN CASH),income,active,no
13010102,FOREIGN AID AND GRANTS (IN CASH),income,active,no
13020101,DOMESTIC AID & GRANTS (IN KIND),income,active,no
13020102,FOREIGN AID & GRANTS (IN KIND),income,active,no
13020103,ENDOWMENT INCOME,income,active,no
14010101,TRANSFER FROM CONSOLIDATED REVENUE FUND TO CDF,income,active,no
14050101,GAIN ON DISPOSAL OF ASSET - PPE,income,active,no
14050201,GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY,income,active,no
14050301,GAIN ON DISPOSAL OF ASSET -INTANGIBLE,income,active,no
14070102,UNSPECIFIED REVENUE,income,active,no
14100101,GAIN ON  FOREIGN EXCHANGE,income,active,no
15010101,RECEIPT FROM CRF TO FUND MDA RECURRENT EXPENDITURE,income,active,no
15010102,RECEIPT FROM OTHER AGENCY  TO FUND RECURRENT EXPENDITURE,income,active,no
15010103,RECEIPT OF CRF REVENUE FROM PSEs,income,active,no
15010104,RECEIPTS FROM SPECIAL FUNDS/ACCOUNTS TO FUND PSE RECURRENT EXPENDITURE,income,active,no
16010118,SUGAR DEVELOPMENT FUND,income,active,no
16010120,RICE LEVY,income,active,no
16010137,WHEAT GRAIN LEVY,income,active,no
16010149,NATURAL DEVELOPMENT FUND,income,active,no
16010150,MILK,income,active,no
16010151,POULTYR,income,active,no
